学号,课程名,成绩
200840703035,毛泽东思想和中国特色社会主义理论体系概论,0
200840703035,思想道德修养与法律基础,75
200840703035,中国近现代史纲要,80
200840703035,马克思主义基本原理,40
200840703035,马克思主义基本原理,46
200840703035,马克思主义基本原理,53
200840703035,篮球AⅠ（男）,65
200840703035,篮球AⅡ（男）,60
200840703035,田径、定向越野BⅠ（男）,0
200840703035,田径、定向越野BⅡ（男）,0
200840703035,高等数学ⅠA,35
200840703035,高等数学ⅠA,16
200840703035,高等数学ⅠA,0
200840703035,高等数学ⅠA,36
200840703035,高等数学ⅠA,47
200840703035,高等数学ⅠB,3
200840703035,高等数学ⅠB,0
200840703035,高等数学ⅠB,17
200840703035,高等数学ⅠB,27
200840703035,工程数学I,0
200840703035,工程数学I,21
200840703035,工程数学I,26
200840703035,工程数学I,16
200840703035,工程数学I,15
200840703035,工程数学Ⅱ,0
200840703035,普通物理IA,35
200840703035,普通物理IA,22
200840703035,普通物理IA,37
200840703035,普通物理IA,16
200840703035,普通物理IA,20
200840703035,普通物理IB,24
200840703035,普通物理实验IIA,79
200840703035,普通物理实验IIB,88
200840703035,普通物理实验IIB,85
200840703035,电工电子技术Ⅱ,25
200840703035,电工电子技术Ⅱ,9
200840703035,电工电子技术Ⅱ,22
200840703035,电工电子技术ⅡB,9
200840703035,数字逻辑,16
200840703035,数字逻辑,12
200840703035,高级程序设计语言,60
200840703035,计算机科学导论,85
200840703035,数理逻辑,60
200840703035,大学英语IA,60
200840703035,大学英语IA,54
200840703035,大学英语IB,60
200840703035,大学英语IB,32
200840703035,FLASH动画设计与制作,82
200840703035,时装设计风格分析与鉴赏,0
200840703035,网页设计,0
200940703046,毛泽东思想、邓论和“三个代表”思想概论,88
200940703046,毛泽东思想和中国特色社会主义理论体系概论,63
200940703046,思想道德修养与法律基础,67
200940703046,中国近现代史纲要,84
200940703046,马克思主义基本原理,74
200940703046,形势与政策,86
200940703046,网球BⅠ（女）,83
200940703046,网球BⅡ（女）,84
200940703046,乒乓球AⅠ（女）,70
200940703046,乒乓球AⅡ（女）,91
200940703046,高等数学ⅠA,80
200940703046,高等数学ⅠB,62
200940703046,工程数学I,71
200940703046,工程数学Ⅱ,65
200940703046,普通物理实验IIA,87
200940703046,普通物理实验IIB,89
200940703046,电工电子技术ⅡB,60
200940703046,电工电子实验ⅡB,62
200940703046,毕业论文,85
200940703046,汇编语言程序设计,60
200940703046,数字逻辑,60
200940703046,计算机组成与结构,60
200940703046,数据结构,64
200940703046,数据库原理,80
200940703046,计算机操作系统原理,78
200940703046,编译原理,68
200940703046,软件工程,77
200940703046,数据库系统设计,85
200940703046,面向对象程序设计方法,60
200940703046,算法设计与分析,90
200940703046,大数据技术,0
200940703046,大数据技术,88
200940703046,离散数学Ⅱ,60
200940703046,高级程序设计语言,69
200940703046,数据结构课程设计,87
200940703046,软件设计方法,90
200940703046,MFC程序设计基础,72
200940703046,面向对象程序设计方法课程设计,90
200940703046,Java软件开发,81
200940703046,数据挖掘技术,80
200940703046,软件项目管理,79
200940703046,设计模式,70
200940703046,Web开发基础,78
200940703046,计算机网络原理,62
200940703046,人工智能及应用,91
200940703046,数理逻辑,81
200940703046,计算机专业英语,78
200940703046,大学英语IA,60
200940703046,大学英语IB,62
200940703046,大学英语IC,60
200940703046,大学英语ID,64
200940703046,桥牌与逻辑思维,87
200940703046,现代物流与电子商务,82
200940703046,《红楼梦》解读,68
200940703046,汽车及使用（东校区）,75
200940703046,数码时代：影像与我,75
201040703034,毛泽东思想和中国特色社会主义理论体系概论,70
201040703034,毛泽东思想和中国特色社会主义理论体系概论,63
201040703034,思想道德修养与法律基础,77
201040703034,中国近现代史纲要,64
201040703034,马克思主义基本原理,55
201040703034,马克思主义基本原理,60
201040703034,形势与政策,86
201040703034,网球BⅠ（男）,78
201040703034,网球BⅡ（男）,91
201040703034,武术散打AⅠ（男）,89
201040703034,武术散打AⅡ（男）,87
201040703034,高等数学ⅠA,63
201040703034,高等数学ⅠB,37
201040703034,高等数学ⅠB,24
201040703034,高等数学ⅠB,60
201040703034,高等数学ⅠB,0
201040703034,高等数学ⅠB,0
201040703034,工程数学I,60
201040703034,工程数学I,34
201040703034,工程数学I,50
201040703034,工程数学Ⅱ,68
201040703034,普通物理IA,62
201040703034,普通物理IB,70
201040703034,普通物理实验IIA,85
201040703034,普通物理实验IIB,89
201040703034,电工电子技术Ⅱ,60
201040703034,电工电子技术Ⅱ,54
201040703034,毕业论文,85
201040703034,汇编语言程序设计,66
201040703034,数字逻辑,66
201040703034,计算机组成与结构,75
201040703034,数据结构,67
201040703034,数据库原理,80
201040703034,计算机操作系统原理,64
201040703034,编译原理,60
201040703034,软件工程,70
201040703034,数据库系统设计,71
201040703034,面向对象程序设计方法,50
201040703034,面向对象程序设计方法,60
201040703034,算法设计与分析,72
201040703034,离散数学Ⅱ,65
201040703034,高级程序设计语言,69
201040703034,数据结构课程设计,79
201040703034,软件设计方法,60
201040703034,MFC程序设计基础,68
201040703034,Java软件开发,77
201040703034,数据挖掘技术,67
201040703034,软件项目管理,75
201040703034,计算机科学导论,85
201040703034,设计模式,70
201040703034,Web开发基础,79
201040703034,计算机网络原理,71
201040703034,人工智能及应用,81
201040703034,数理逻辑,60
201040703034,计算机专业英语,89
201040703034,大学英语IA,68
201040703034,大学英语IB,61
201040703034,大学英语IC,50
201040703034,大学英语IC,60
201040703034,大学英语ID,60
201040703034,影视动画设计,80
201040703034,数码照片拍摄及后期处理,72
201040703034,国学背诵,0
201040703034,琴棋书画,85
201040703034,感染性疾病及其预防,60
201040703034,零起点PHP专业Web网站设计与开发,0
201040703034,汽车及使用,87
201040703034,计算机操作系统原理,90
201040703034,计算机组成与结构,83
201040703034,计算机网络原理,85
201040703034,数据结构,76
201040703035,毛泽东思想和中国特色社会主义理论体系概论,91
201040703035,毛泽东思想和中国特色社会主义理论体系概论,87
201040703035,思想道德修养与法律基础,87
201040703035,中国近现代史纲要,82
201040703035,马克思主义基本原理,79
201040703035,形势与政策,82
201040703035,篮球AⅠ（男）,88
201040703035,篮球AⅡ（男）,91
201040703035,网球BⅠ（男）,80
201040703035,网球BⅡ（男）,98
201040703035,高等数学ⅠA,89
201040703035,高等数学ⅠB,88
201040703035,工程数学I,96
201040703035,工程数学Ⅱ,93
201040703035,普通物理IA,78
201040703035,普通物理IB,87
201040703035,普通物理实验IIA,88
201040703035,普通物理实验IIB,91
201040703035,电工电子技术Ⅱ,97
201040703035,毕业论文,88
201040703035,汇编语言程序设计,93
201040703035,数字逻辑,90
201040703035,计算机组成与结构,87
201040703035,数据结构,96
201040703035,数据库原理,91
201040703035,计算机操作系统原理,93
201040703035,编译原理,95
201040703035,软件工程,69
201040703035,数据库系统设计,83
201040703035,面向对象程序设计方法,98
201040703035,算法设计与分析,87
201040703035,离散数学Ⅱ,92
201040703035,高级程序设计语言,96
201040703035,数据结构课程设计,95
201040703035,软件设计方法,78
201040703035,MFC程序设计基础,72
201040703035,Java软件开发,84
201040703035,数据挖掘技术,71
201040703035,软件项目管理,78
201040703035,计算机科学导论,89
201040703035,设计模式,76
201040703035,Web开发基础,82
201040703035,计算机网络原理,97
201040703035,人工智能及应用,82
201040703035,数理逻辑,90
201040703035,计算机专业英语,83
201040703035,大学英语IA,77
201040703035,大学英语IB,70
201040703035,大学英语IC,78
201040703035,大学英语ID,75
201040703035,c/c++程序设计基础,96
201040703035,PhotoshopCS2平面设计(东校区),85
201040703035,网页设计,84
201040703035,Linux环境程序设计,70
201040703035,图像处理与分析导论,82
201040703036,毛泽东思想和中国特色社会主义理论体系概论,86
201040703036,毛泽东思想和中国特色社会主义理论体系概论,81
201040703036,思想道德修养与法律基础,79
201040703036,中国近现代史纲要,82
201040703036,马克思主义基本原理,60
201040703036,形势与政策,86
201040703036,网球BⅠ（男）,85
201040703036,网球BⅡ（男）,97
201040703036,体操AⅠ（男）,82
201040703036,体操AⅡ（男）,89
201040703036,高等数学ⅠA,77
201040703036,高等数学ⅠB,75
201040703036,工程数学I,75
201040703036,工程数学Ⅱ,88
201040703036,普通物理IA,81
201040703036,普通物理IB,81
201040703036,普通物理实验IIA,84
201040703036,普通物理实验IIB,85
201040703036,电工电子技术Ⅱ,78
201040703036,毕业论文,86
201040703036,汇编语言程序设计,87
201040703036,数字逻辑,82
201040703036,计算机组成与结构,88
201040703036,数据结构,90
201040703036,数据库原理,80
201040703036,计算机操作系统原理,86
201040703036,编译原理,69
201040703036,软件工程,82
201040703036,数据库系统设计,72
201040703036,面向对象程序设计方法,90
201040703036,算法设计与分析,84
201040703036,离散数学Ⅱ,79
201040703036,高级程序设计语言,90
201040703036,数据结构课程设计,79
201040703036,软件设计方法,76
201040703036,MFC程序设计基础,70
201040703036,Java软件开发,93
201040703036,数据挖掘技术,64
201040703036,软件项目管理,72
201040703036,计算机科学导论,82
201040703036,设计模式,75
201040703036,Web开发基础,76
201040703036,计算机网络原理,84
201040703036,人工智能及应用,81
201040703036,数理逻辑,84
201040703036,计算机专业英语,89
201040703036,大学英语IA,60
201040703036,大学英语IB,61
201040703036,大学英语IC,64
201040703036,大学英语ID,75
201040703036,管理学,84
201040703036,图像处理与分析导论,86
201040703036,网页设计,75
201040703036,视频处理与欣赏,81
201040703036,Android智能平台软件开发技术,69
201040703036,计算机操作系统原理,90
201040703036,计算机组成与结构,80
201040703036,计算机网络原理,85
201040703036,数据结构,81
201040703037,毛泽东思想和中国特色社会主义理论体系概论,82
201040703037,毛泽东思想和中国特色社会主义理论体系概论,83
201040703037,思想道德修养与法律基础,86
201040703037,中国近现代史纲要,77
201040703037,马克思主义基本原理,61
201040703037,形势与政策,90
201040703037,健美操AⅠ（女）,94
201040703037,健美操AⅡ（女）,97
201040703037,健美操BⅠ（女）,90
201040703037,健美操BⅡ（女）,97
201040703037,高等数学ⅠA,91
201040703037,高等数学ⅠB,83
201040703037,工程数学I,83
201040703037,工程数学Ⅱ,93
201040703037,普通物理IA,71
201040703037,普通物理IB,83
201040703037,普通物理实验IIA,88
201040703037,普通物理实验IIB,90
201040703037,电工电子技术Ⅱ,93
201040703037,毕业论文,80
201040703037,汇编语言程序设计,88
201040703037,数字逻辑,86
201040703037,计算机组成与结构,93
201040703037,数据结构,90
201040703037,数据库原理,87
201040703037,计算机操作系统原理,90
201040703037,编译原理,88
201040703037,软件工程,89
201040703037,数据库系统设计,74
201040703037,面向对象程序设计方法,92
201040703037,算法设计与分析,93
201040703037,离散数学Ⅱ,88
201040703037,高级程序设计语言,90
201040703037,数据结构课程设计,85
201040703037,软件设计方法,79
201040703037,MFC程序设计基础,80
201040703037,Java软件开发,79
201040703037,数据挖掘技术,69
201040703037,软件项目管理,82
201040703037,计算机科学导论,91
201040703037,设计模式,80
201040703037,Web开发基础,84
201040703037,计算机网络原理,92
201040703037,人工智能及应用,85
201040703037,数理逻辑,91
201040703037,计算机专业英语,89
201040703037,大学英语IA,71
201040703037,大学英语IB,69
201040703037,大学英语IC,76
201040703037,大学英语ID,72
201040703037,财政学,83
201040703037,会计学原理,60
201040703037,西方经济学（微观）,81
201040703037,国际经济学,92
201040703037,统计学,76
201040703037,西方经济学（宏观）,78
201040703037,银行管理学,76
201040703037,国际金融实务,80
201040703037,投资学,75
201040703037,基金管理,69
201040703037,公司财务管理,87
201040703037,个人理财,76
201040703037,货币金融学,79
201040703037,计量经济学,87
201040703037,二专业毕业论文,85
201040703037,经济法,92
201040703037,国际贸易实务,67
201040703037,数据库技术,81
201040703037,大学生心理健康,97
201040703037,服饰美学,75
201040703037,C语言程序设计,81
201040703037,材料世界漫谈,90
201040703038,毛泽东思想和中国特色社会主义理论体系概论,69
201040703038,毛泽东思想和中国特色社会主义理论体系概论,71
201040703038,思想道德修养与法律基础,80
201040703038,中国近现代史纲要,72
201040703038,马克思主义基本原理,68
201040703038,形势与政策,84
201040703038,健身BⅠ（男）,80
201040703038,健身BⅡ（男）,85
201040703038,武术散打AⅠ（男）,83
201040703038,武术散打AⅡ（男）,78
201040703038,高等数学ⅠA,78
201040703038,高等数学ⅠB,79
201040703038,工程数学I,69
201040703038,工程数学Ⅱ,92
201040703038,普通物理IA,80
201040703038,普通物理IB,52
201040703038,普通物理IB,60
201040703038,普通物理实验IIA,84
201040703038,普通物理实验IIB,87
201040703038,电工电子技术Ⅱ,66
201040703038,毕业论文,65
201040703038,汇编语言程序设计,70
201040703038,数字逻辑,67
201040703038,计算机组成与结构,60
201040703038,数据结构,67
201040703038,数据库原理,80
201040703038,计算机操作系统原理,80
201040703038,编译原理,83
201040703038,软件工程,77
201040703038,数据库系统设计,89
201040703038,面向对象程序设计方法,77
201040703038,算法设计与分析,89
201040703038,离散数学Ⅱ,68
201040703038,高级程序设计语言,76
201040703038,数据结构课程设计,84
201040703038,软件设计方法,65
201040703038,MFC程序设计基础,70
201040703038,Java软件开发,77
201040703038,数据挖掘技术,60
201040703038,软件项目管理,75
201040703038,计算机科学导论,79
201040703038,设计模式,75
201040703038,Web开发基础,81
201040703038,计算机网络原理,93
201040703038,人工智能及应用,80
201040703038,数理逻辑,76
201040703038,计算机专业英语,73
201040703038,大学英语IA,79
201040703038,大学英语IB,72
201040703038,大学英语IC,56
201040703038,大学英语IC,60
201040703038,大学英语ID,61
201040703038,经典电影赏析,72
201040703038,市场调查与市场预测,78
201040703038,国际经典影视广告赏析,86
201040703038,大学生创业素质培养,66
201040703038,Visual C++ 程序设计,83
201040703039,毛泽东思想和中国特色社会主义理论体系概论,73
201040703039,毛泽东思想和中国特色社会主义理论体系概论,78
201040703039,思想道德修养与法律基础,79
201040703039,中国近现代史纲要,82
201040703039,马克思主义基本原理,62
201040703039,形势与政策,80
201040703039,篮球BⅠ（男）,70
201040703039,篮球BⅡ（男）,67
201040703039,体操AⅠ（男）,61
201040703039,体操AⅡ（男）,61
201040703039,高等数学ⅠA,80
201040703039,高等数学ⅠB,78
201040703039,工程数学I,66
201040703039,工程数学Ⅱ,51
201040703039,工程数学Ⅱ,60
201040703039,普通物理IA,78
201040703039,普通物理IB,73
201040703039,普通物理实验IIA,88
201040703039,普通物理实验IIB,89
201040703039,电工电子技术Ⅱ,72
201040703039,毕业论文,93
201040703039,汇编语言程序设计,78
201040703039,数字逻辑,83
201040703039,计算机组成与结构,90
201040703039,数据结构,94
201040703039,数据库原理,90
201040703039,计算机操作系统原理,88
201040703039,编译原理,76
201040703039,软件工程,81
201040703039,数据库系统设计,91
201040703039,面向对象程序设计方法,92
201040703039,算法设计与分析,91
201040703039,离散数学Ⅱ,93
201040703039,高级程序设计语言,98
201040703039,数据结构课程设计,95
201040703039,软件设计方法,95
201040703039,MFC程序设计基础,85
201040703039,Java软件开发,91
201040703039,数据挖掘技术,76
201040703039,软件项目管理,98
201040703039,计算机科学导论,83
201040703039,设计模式,95
201040703039,Web开发基础,98
201040703039,计算机网络原理,96
201040703039,人工智能及应用,95
201040703039,数理逻辑,100
201040703039,计算机专业英语,92
201040703039,大学英语IA,84
201040703039,大学英语IB,82
201040703039,大学英语IC,79
201040703039,大学英语ID,89
201040703039,生活中的博弈与英语单词记忆,90
201040703039,Linux环境程序设计,89
201040703039,网页设计,79
201040703039,Android智能平台软件开发技术,88
201040703039,快乐日本语,72
201040703040,毛泽东思想和中国特色社会主义理论体系概论,82
201040703040,毛泽东思想和中国特色社会主义理论体系概论,53
201040703040,毛泽东思想和中国特色社会主义理论体系概论,60
201040703040,思想道德修养与法律基础,78
201040703040,中国近现代史纲要,86
201040703040,马克思主义基本原理,70
201040703040,形势与政策,80
201040703040,篮球AⅠ（女）,87
201040703040,篮球AII（女）,81
201040703040,乒乓球BⅠ（女）,90
201040703040,乒乓球BⅡ（女）,91
201040703040,高等数学ⅠA,78
201040703040,高等数学ⅠB,70
201040703040,工程数学I,68
201040703040,工程数学Ⅱ,68
201040703040,普通物理IA,71
201040703040,普通物理IB,68
201040703040,普通物理实验IIA,88
201040703040,普通物理实验IIB,90
201040703040,电工电子技术Ⅱ,78
201040703040,毕业论文,73
201040703040,汇编语言程序设计,76
201040703040,数字逻辑,43
201040703040,数字逻辑,60
201040703040,计算机组成与结构,60
201040703040,数据结构,64
201040703040,数据库原理,75
201040703040,计算机操作系统原理,63
201040703040,编译原理,60
201040703040,软件工程,82
201040703040,数据库系统设计,78
201040703040,面向对象程序设计方法,65
201040703040,算法设计与分析,88
201040703040,离散数学Ⅱ,60
201040703040,高级程序设计语言,86
201040703040,数据结构课程设计,81
201040703040,软件设计方法,66
201040703040,MFC程序设计基础,74
201040703040,Java软件开发,88
201040703040,数据挖掘技术,73
201040703040,软件项目管理,75
201040703040,计算机科学导论,83
201040703040,设计模式,75
201040703040,Web开发基础,86
201040703040,计算机网络原理,77
201040703040,人工智能及应用,81
201040703040,数理逻辑,84
201040703040,计算机专业英语,91
201040703040,大学英语IA,71
201040703040,大学英语IB,61
201040703040,大学英语IC,55
201040703040,大学英语IC,60
201040703040,大学英语IC,49
201040703040,大学英语IC,55
201040703040,大学英语ID,62
201040703040,大学生必须培养的66种明智思维,84
201040703040,运动营养与健康,69
201040703040,国际知名品牌服饰鉴赏,86
201040703040,互联网与计算机系统安全操作实用指南,90
201040703040,汽车及使用,74
201040703042,毛泽东思想和中国特色社会主义理论体系概论,83
201040703042,毛泽东思想和中国特色社会主义理论体系概论,91
201040703042,思想道德修养与法律基础,92
201040703042,中国近现代史纲要,87
201040703042,马克思主义基本原理,92
201040703042,形势与政策,88
201040703042,乒乓球AⅠ（女）,92
201040703042,乒乓球AⅡ（女）,96
201040703042,乒乓球BⅠ（女）,99
201040703042,乒乓球BⅡ（女）,98
201040703042,高等数学ⅠA,96
201040703042,高等数学ⅠB,91
201040703042,工程数学I,94
201040703042,工程数学Ⅱ,97
201040703042,普通物理IA,88
201040703042,普通物理IB,85
201040703042,普通物理实验IIA,89
201040703042,普通物理实验IIB,92
201040703042,电工电子技术Ⅱ,98
201040703042,毕业论文,88
201040703042,汇编语言程序设计,95
201040703042,数字逻辑,97
201040703042,计算机组成与结构,95
201040703042,数据结构,97
201040703042,数据库原理,95
201040703042,计算机操作系统原理,96
201040703042,编译原理,96
201040703042,软件工程,93
201040703042,数据库系统设计,81
201040703042,面向对象程序设计方法,97
201040703042,算法设计与分析,91
201040703042,离散数学Ⅱ,93
201040703042,高级程序设计语言,97
201040703042,数据结构课程设计,93
201040703042,软件设计方法,91
201040703042,MFC程序设计基础,80
201040703042,Java软件开发,91
201040703042,数据挖掘技术,94
201040703042,软件项目管理,90
201040703042,计算机科学导论,91
201040703042,设计模式,88
201040703042,Web开发基础,88
201040703042,计算机网络原理,97
201040703042,人工智能及应用,98
201040703042,数理逻辑,92
201040703042,计算机专业英语,97
201040703042,论文写作,85
201040703042,大学英语IA,77
201040703042,大学英语IB,79
201040703042,大学英语IC,93
201040703042,大学英语ID,86
201040703042,基础英语a,85
201040703042,基础英语b,79
201040703042,高级英语a,81
201040703042,语音a,84
201040703042,口语a,90
201040703042,口语b,90
201040703042,笔译a,87
201040703042,笔译b,90
201040703042,口译a,87
201040703042,阅读a,87
201040703042,阅读b,90
201040703042,英语国家概况a,91
201040703042,英语国家概况b,92
201040703042,英国文学a,79
201040703042,英国文学b,88
201040703042,美国文学a,80
201040703042,视听a,88
201040703042,国学背诵,98
201040703042,琴棋书画,84
201040703042,数据库技术,86
201040703042,数学模型与数学实验,81
201040703042,经典研读,94
201040703042,毕业论文,85
201040703042,毕业论文,0
201040703043,毛泽东思想和中国特色社会主义理论体系概论,76
201040703043,毛泽东思想和中国特色社会主义理论体系概论,60
201040703043,思想道德修养与法律基础,71
201040703043,中国近现代史纲要,74
201040703043,马克思主义基本原理,60
201040703043,形势与政策,86
201040703043,足球AⅠ（男）,80
201040703043,足球AⅡ（男）,83
201040703043,足球BⅠ（男）,64
201040703043,足球BⅡ（男）,60
201040703043,高等数学ⅠA,63
201040703043,高等数学ⅠB,64
201040703043,工程数学I,60
201040703043,工程数学Ⅱ,61
201040703043,普通物理IA,60
201040703043,普通物理IA,38
201040703043,普通物理IB,48
201040703043,普通物理IB,60
201040703043,普通物理实验IIA,84
201040703043,普通物理实验IIB,91
201040703043,电工电子技术Ⅱ,60
201040703043,电工电子技术Ⅱ,16
201040703043,电工电子技术Ⅱ,50
201040703043,毕业论文,89
201040703043,汇编语言程序设计,46
201040703043,汇编语言程序设计,80
201040703043,数字逻辑,15
201040703043,数字逻辑,9
201040703043,数字逻辑,60
201040703043,计算机组成与结构,80
201040703043,计算机组成与结构,30
201040703043,数据结构,60
201040703043,数据库原理,60
201040703043,计算机操作系统原理,75
201040703043,编译原理,60
201040703043,软件工程,66
201040703043,数据库系统设计,77
201040703043,面向对象程序设计方法,46
201040703043,面向对象程序设计方法,60
201040703043,算法设计与分析,87
201040703043,离散数学Ⅱ,60
201040703043,高级程序设计语言,61
201040703043,数据结构课程设计,89
201040703043,软件设计方法,71
201040703043,MFC程序设计基础,68
201040703043,Java软件开发,73
201040703043,数据挖掘技术,84
201040703043,软件项目管理,83
201040703043,计算机科学导论,82
201040703043,设计模式,75
201040703043,Web开发基础,80
201040703043,计算机网络原理,65
201040703043,人工智能及应用,72
201040703043,数理逻辑,64
201040703043,计算机专业英语,80
201040703043,大学英语IA,70
201040703043,大学英语IB,67
201040703043,大学英语IC,60
201040703043,大学英语IC,51
201040703043,大学英语ID,60
201040703043,Solidworks三维造型（东校区）,75
201040703043,大学生就业指导与职业生涯规划,91
201040703043,数据库技术,74
201040703043,视频处理与欣赏,88
201040703043,网络与计算机实用技术,78
201040703044,毛泽东思想和中国特色社会主义理论体系概论,80
